

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet48_1
optimizer          : adagrad
learning_rate      : 0.001
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet48_1_3

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [8, 5, 5, 5] 
C (# Channels)	: [64, 128, 128, 128] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.48240059 ;	Train Accuracy: 45.504 ;	Test Loss: 1.34799192 ; 	Test Accuracy: 51.630 ;
Epoch: 2 ;	Train Loss: 1.07770649 ;	Train Accuracy: 61.348 ;	Test Loss: 0.99863282 ; 	Test Accuracy: 64.620 ;
Epoch: 3 ;	Train Loss: 0.89916860 ;	Train Accuracy: 67.828 ;	Test Loss: 0.86283213 ; 	Test Accuracy: 69.680 ;
Epoch: 4 ;	Train Loss: 0.78858433 ;	Train Accuracy: 72.070 ;	Test Loss: 0.81131271 ; 	Test Accuracy: 71.970 ;
Epoch: 5 ;	Train Loss: 0.71395479 ;	Train Accuracy: 75.076 ;	Test Loss: 0.75677941 ; 	Test Accuracy: 73.880 ;
Epoch: 6 ;	Train Loss: 0.65063088 ;	Train Accuracy: 77.118 ;	Test Loss: 0.69944072 ; 	Test Accuracy: 76.040 ;
Epoch: 7 ;	Train Loss: 0.60368038 ;	Train Accuracy: 78.864 ;	Test Loss: 0.65107701 ; 	Test Accuracy: 77.330 ;
Epoch: 8 ;	Train Loss: 0.56118334 ;	Train Accuracy: 80.360 ;	Test Loss: 0.64136691 ; 	Test Accuracy: 77.850 ;
Epoch: 9 ;	Train Loss: 0.52853201 ;	Train Accuracy: 81.536 ;	Test Loss: 0.62565489 ; 	Test Accuracy: 78.600 ;
Epoch: 10 ;	Train Loss: 0.50133365 ;	Train Accuracy: 82.596 ;	Test Loss: 0.58895701 ; 	Test Accuracy: 79.550 ;
Epoch: 11 ;	Train Loss: 0.47467011 ;	Train Accuracy: 83.558 ;	Test Loss: 0.57052273 ; 	Test Accuracy: 80.500 ;
Epoch: 12 ;	Train Loss: 0.45380176 ;	Train Accuracy: 84.268 ;	Test Loss: 0.56273493 ; 	Test Accuracy: 81.250 ;
Epoch: 13 ;	Train Loss: 0.42937631 ;	Train Accuracy: 85.080 ;	Test Loss: 0.55434770 ; 	Test Accuracy: 81.630 ;
Epoch: 14 ;	Train Loss: 0.41306296 ;	Train Accuracy: 85.768 ;	Test Loss: 0.53712719 ; 	Test Accuracy: 81.690 ;
Epoch: 15 ;	Train Loss: 0.39668567 ;	Train Accuracy: 86.286 ;	Test Loss: 0.56723777 ; 	Test Accuracy: 81.100 ;
Epoch: 16 ;	Train Loss: 0.38568171 ;	Train Accuracy: 86.510 ;	Test Loss: 0.53472838 ; 	Test Accuracy: 82.090 ;
Epoch: 17 ;	Train Loss: 0.36768702 ;	Train Accuracy: 87.416 ;	Test Loss: 0.50451569 ; 	Test Accuracy: 83.110 ;
