

Run Config: 
------------------------------
data_path          : CIFAR10/
train_batch_size   : 128
test_batch_size    : 100
epochs             : 50
model              : ResNet16_1
optimizer          : sgdn
learning_rate      : 0.1
momentum           : 0.9
weight_decay       : 0.0005
schedule           : False
save               : False
print_summary      : False
no_training        : False
save_plot          : True
output_file_prefix : ResNet16_1_3

Running on  CUDA 

Files already downloaded and verified
Files already downloaded and verified


Model Config: 
-------------------------------------
N (# Layers)	: 4 
B (# Blocks)	: [2, 1, 2, 2] 
C (# Channels)	: [64, 128, 256, 256] 
F (Conv Kernel)	: [3, 3, 3, 3] 
K (Skip Kernel)	: [1, 1, 1, 1] 
P (Pool Kernel)	: 4
Training...


Epoch: 1 ;	Train Loss: 1.59548076 ;	Train Accuracy: 41.832 ;	Test Loss: 1.53419609 ; 	Test Accuracy: 48.010 ;
Epoch: 2 ;	Train Loss: 1.05922437 ;	Train Accuracy: 61.984 ;	Test Loss: 1.25076259 ; 	Test Accuracy: 58.030 ;
Epoch: 3 ;	Train Loss: 0.83278165 ;	Train Accuracy: 70.560 ;	Test Loss: 0.88189370 ; 	Test Accuracy: 69.790 ;
Epoch: 4 ;	Train Loss: 0.68179544 ;	Train Accuracy: 76.182 ;	Test Loss: 0.75044816 ; 	Test Accuracy: 74.610 ;
Epoch: 5 ;	Train Loss: 0.60092890 ;	Train Accuracy: 79.188 ;	Test Loss: 0.73414220 ; 	Test Accuracy: 74.930 ;
Epoch: 6 ;	Train Loss: 0.54506734 ;	Train Accuracy: 81.124 ;	Test Loss: 0.65867972 ; 	Test Accuracy: 77.740 ;
Epoch: 7 ;	Train Loss: 0.50914849 ;	Train Accuracy: 82.478 ;	Test Loss: 0.69085824 ; 	Test Accuracy: 77.220 ;
Epoch: 8 ;	Train Loss: 0.48773191 ;	Train Accuracy: 83.332 ;	Test Loss: 0.77844195 ; 	Test Accuracy: 75.120 ;
Epoch: 9 ;	Train Loss: 0.46652640 ;	Train Accuracy: 83.964 ;	Test Loss: 0.66929483 ; 	Test Accuracy: 78.030 ;
Epoch: 10 ;	Train Loss: 0.44884080 ;	Train Accuracy: 84.530 ;	Test Loss: 0.60575056 ; 	Test Accuracy: 80.190 ;
Epoch: 11 ;	Train Loss: 0.43662897 ;	Train Accuracy: 85.160 ;	Test Loss: 0.72381454 ; 	Test Accuracy: 77.350 ;
Epoch: 12 ;	Train Loss: 0.41529759 ;	Train Accuracy: 85.774 ;	Test Loss: 0.65204277 ; 	Test Accuracy: 78.240 ;
Epoch: 13 ;	Train Loss: 0.40997429 ;	Train Accuracy: 85.828 ;	Test Loss: 0.78525284 ; 	Test Accuracy: 77.440 ;
Epoch: 14 ;	Train Loss: 0.40047482 ;	Train Accuracy: 86.248 ;	Test Loss: 0.54313428 ; 	Test Accuracy: 81.330 ;
Epoch: 15 ;	Train Loss: 0.39105330 ;	Train Accuracy: 86.610 ;	Test Loss: 0.56029583 ; 	Test Accuracy: 81.190 ;
Epoch: 16 ;	Train Loss: 0.39065310 ;	Train Accuracy: 86.762 ;	Test Loss: 0.51525239 ; 	Test Accuracy: 82.550 ;
Epoch: 17 ;	Train Loss: 0.37994825 ;	Train Accuracy: 86.954 ;	Test Loss: 0.60152915 ; 	Test Accuracy: 81.000 ;
Epoch: 18 ;	Train Loss: 0.37689381 ;	Train Accuracy: 87.198 ;	Test Loss: 0.52669286 ; 	Test Accuracy: 82.460 ;
Epoch: 19 ;	Train Loss: 0.37089835 ;	Train Accuracy: 87.480 ;	Test Loss: 0.50910402 ; 	Test Accuracy: 82.640 ;
